CG18144	Hand	FBgn0032209	Drosophila melanogaster
CG18262	CG18262	FBgn0030012	Drosophila melanogaster
CG1832	Clamp	FBgn0032979	Drosophila melanogaster
CG18362	Mondo	FBgn0032940	Drosophila melanogaster
CG18446	Lime	FBgn0033458	Drosophila melanogaster
CG18455	Optix	FBgn0025360	Drosophila melanogaster
CG18476	CG18476	FBgn0037931	Drosophila melanogaster
CG1849	run	FBgn0003300	Drosophila melanogaster
CG1856	ttk	FBgn0003870	Drosophila melanogaster
CG18599	CG18599	FBgn0038592	Drosophila melanogaster
CG18619	REPTOR-BP	FBgn0032202	Drosophila melanogaster
CG1864	Hr38	FBgn0014859	Drosophila melanogaster
CG18647	bin	FBgn0045759	Drosophila melanogaster
CG18764	CG18764	FBgn0042205	Drosophila melanogaster
CG1897	Dr	FBgn0000492	Drosophila melanogaster
CG1922	onecut	FBgn0028996	Drosophila melanogaster
CG1965	CG1965	FBgn0037466	Drosophila melanogaster
CG2047	ftz	FBgn0001077	Drosophila melanogaster
CG2052	dati	FBgn0262636	Drosophila melanogaster
CG2102	cas	FBgn0004878	Drosophila melanogaster
CG2116	CG2116	FBgn0030003	Drosophila melanogaster
CG2120	CG2120	FBgn0030005	Drosophila melanogaster
CG2125	ci	FBgn0004859	Drosophila melanogaster
CG2129	CG2129	FBgn0030008	Drosophila melanogaster
CG2175	dec-1	FBgn0000427	Drosophila melanogaster
CG2189	Dfd	FBgn0000439	Drosophila melanogaster
CG2199	CG2199	FBgn0035213	Drosophila melanogaster
CG2202	CG2202	FBgn0030240	Drosophila melanogaster
CG2262	Smox	FBgn0025800	Drosophila melanogaster
CG2275	Jra	FBgn0001291	Drosophila melanogaster
CG2328	eve	FBgn0000606	Drosophila melanogaster
CG2380	NfI	FBgn0042696	Drosophila melanogaster
CG2655	HLH3B	FBgn0011276	Drosophila melanogaster
CG2678	CG2678	FBgn0014931	Drosophila melanogaster
CG2692	gsb-n	FBgn0001147	Drosophila melanogaster
CG2711	dwg	FBgn0000520	Drosophila melanogaster
CG2712	CG2712	FBgn0024975	Drosophila melanogaster
CG2819	Pph13	FBgn0023489	Drosophila melanogaster
CG2851	Gsc	FBgn0010323	Drosophila melanogaster
CG2889	CG2889	FBgn0030206	Drosophila melanogaster
CG2914	Ets21C	FBgn0005660	Drosophila melanogaster
CG2932	Klf15	FBgn0025679	Drosophila melanogaster
CG2939	slp2	FBgn0004567	Drosophila melanogaster
CG2956	twi	FBgn0003900	Drosophila melanogaster
CG2988	ems	FBgn0000576	Drosophila melanogaster
CG30011	gem	FBgn0050011	Drosophila melanogaster
CG30020	CG30020	FBgn0050020	Drosophila melanogaster
CG3032	CG3032	FBgn0029928	Drosophila melanogaster
CG30431	CG30431	FBgn0050431	Drosophila melanogaster
CG30443	Opbp	FBgn0050443	Drosophila melanogaster
CG3052	HLH4C	FBgn0011277	Drosophila melanogaster
CG3065	CG3065	FBgn0034946	Drosophila melanogaster
CG3075	Nf-YC	FBgn0029905	Drosophila melanogaster
CG3090	Sox14	FBgn0005612	Drosophila melanogaster
CG3114	ewg	FBgn0005427	Drosophila melanogaster
CG31224	CG31224	FBgn0051224	Drosophila melanogaster
CG31240	repo	FBgn0011701	Drosophila melanogaster
CG3136	Atf6	FBgn0033010	Drosophila melanogaster
CG31365	CG31365	FBgn0051365	Drosophila melanogaster
CG31388	CG31388	FBgn0051388	Drosophila melanogaster
CG3143	foxo	FBgn0038197	Drosophila melanogaster
CG31441	CG31441	FBgn0051441	Drosophila melanogaster
CG31481	pb	FBgn0051481	Drosophila melanogaster
CG31612	CG31612	FBgn0051612	Drosophila melanogaster
CG31632	sens-2	FBgn0051632	Drosophila melanogaster
CG3166	aop	FBgn0000097	Drosophila melanogaster
CG31670	erm	FBgn0031375	Drosophila melanogaster
CG31753	ham	FBgn0045852	Drosophila melanogaster
CG32006	CG32006	FBgn0052006	Drosophila melanogaster
CG32105	Lmx1a	FBgn0052105	Drosophila melanogaster
CG32120	sens	FBgn0002573	Drosophila melanogaster
CG32139	Sox21b	FBgn0042630	Drosophila melanogaster
CG32180	Eip74EF	FBgn0000567	Drosophila melanogaster
CG32296	Mrtf	FBgn0052296	Drosophila melanogaster
